Timestamp,Symbol,Type,Strategy,Strike,Premium,PriceSource,Spot,Volume,OI,OI_Change,IV_Percentile,Market_Regime,RSI,Tier,Moneyness,Expiry,DaysToExpiry,LotSize,TotalCost,Breakeven,DistanceFromSpot
2025-11-29 18:55:15,NIFTY,INDEX,Long Put,23500,8.05,ask,26204.55,7408,8595,-618,50,LOW_VOL,0,INDEX,OTM,30-Dec-2025,30,25,201.25,23491.95,-10.3% OTM
2025-11-29 18:55:15,NIFTY,INDEX,Long Put,22900,6.4,ask,26204.55,6356,2338,773,50,LOW_VOL,0,INDEX,OTM,30-Dec-2025,30,25,160.0,22893.6,-12.6% OTM
2025-11-29 18:55:15,NIFTY,INDEX,Long Put,23100,7.9,ask,26204.55,5499,1409,164,50,LOW_VOL,0,INDEX,OTM,30-Dec-2025,30,25,197.5,23092.1,-11.8% OTM
2025-11-29 18:55:15,NIFTY,INDEX,Long Call,27500,235.25,ask,26204.55,1597,781,-399,50,LOW_VOL,0,INDEX,OTM,24-Feb-2026,86,25,5881.25,27735.25,+4.9% OTM
2025-11-29 18:55:18,M&M,STOCK,Long Call,4300,3.4,ask,3757.3,1558,759,408,50,LOW_VOL,60.0,TIER_1,OTM,30-Dec-2025,30,350,1190.0,4303.4,+14.4% OTM
2025-11-29 18:55:58,ADANIENT,STOCK,Long Put,2229.8,45.6,ask,2280.2,1342,690,44,50,LOW_VOL,47.9,TIER_2,OTM,30-Dec-2025,30,250,11400.0,2184.2,-2.2% OTM
2025-11-29 18:55:15,NIFTY,INDEX,Long Put,24500,66.25,ask,26204.55,1288,1061,388,50,LOW_VOL,0,INDEX,OTM,24-Feb-2026,86,25,1656.25,24433.75,-6.5% OTM
2025-11-29 18:55:15,NIFTY,INDEX,Long Put,25500,178.25,ask,26204.55,1065,1517,532,50,LOW_VOL,0,INDEX,OTM,24-Feb-2026,86,25,4456.25,25321.75,-2.7% OTM
2025-11-29 18:55:58,ADANIENT,STOCK,Long Put,2307.35,81.2,ask,2280.2,1009,217,134,50,LOW_VOL,47.9,TIER_2,ATM,30-Dec-2025,30,250,20300.0,2226.15,+1.2% ITM
2025-11-29 18:55:15,BANKNIFTY,INDEX,Long Put,57000,394.7,ask,59722.8,996,5703,252,50,LOW_VOL,0,INDEX,OTM,31-Mar-2026,121,15,5920.5,56605.3,-4.6% OTM
2025-11-29 18:55:15,BANKNIFTY,INDEX,Long Put,49000,7.85,ask,59722.8,580,388,-40,50,LOW_VOL,0,INDEX,OTM,30-Dec-2025,30,15,117.75,48992.15,-18.0% OTM
2025-11-29 18:55:42,TITAN,STOCK,Long Call,4280,3.7,ask,3907.7,553,1551,-17,50,LOW_VOL,67.0,TIER_1,OTM,30-Dec-2025,30,375,1387.5,4283.7,+9.5% OTM
2025-11-29 18:55:15,NIFTY,INDEX,Long Put,23600,9.4,ask,26204.55,546,528,-10,50,LOW_VOL,0,INDEX,OTM,30-Dec-2025,30,25,235.0,23590.6,-9.9% OTM
2025-11-29 18:55:15,NIFTY,INDEX,Long Put,25300,140.55,ask,26204.55,518,687,449,50,LOW_VOL,0,INDEX,OTM,24-Feb-2026,86,25,3513.75,25159.45,-3.5% OTM
2025-11-29 18:55:21,RELIANCE,STOCK,Long Put,1430,1.3,ask,1567.5,412,990,-136,50,LOW_VOL,82.3,TIER_1,OTM,30-Dec-2025,30,250,325.0,1428.7,-8.8% OTM
2025-11-29 18:55:58,ADANIENT,STOCK,Long Put,2210.45,38.9,ask,2280.2,399,179,-32,50,LOW_VOL,47.9,TIER_2,OTM,30-Dec-2025,30,250,9725.0,2171.55,-3.1% OTM
2025-11-29 18:55:35,ADANIPORTS,STOCK,Long Call,1660,4.65,ask,1516.9,284,256,28,50,LOW_VOL,71.0,TIER_2,OTM,30-Dec-2025,30,1250,5812.5,1664.65,+9.4% OTM
2025-11-29 18:56:02,HDFCAMC,STOCK,Long Put,2650,43.45,ask,2673.0,251,332,-46,50,LOW_VOL,22.5,TIER_3,ATM,30-Dec-2025,30,200,8690.0,2606.55,-0.9% OTM
2025-11-29 18:55:56,INFY,STOCK,Long Put,1380,1.2,ask,1560.1,243,1306,-10,50,LOW_VOL,59.6,TIER_1,OTM,30-Dec-2025,30,400,480.0,1378.8,-11.5% OTM
2025-11-29 18:56:06,HCLTECH,STOCK,Long Call,1780,3.0,ask,1624.2,235,241,-41,50,LOW_VOL,66.7,TIER_1,OTM,30-Dec-2025,30,350,1050.0,1783.0,+9.6% OTM
2025-11-29 18:55:43,MUTHOOTFIN,STOCK,Long Call,4150,10.75,ask,3744.2,202,1465,21,50,LOW_VOL,73.6,TIER_3,OTM,30-Dec-2025,30,375,4031.25,4160.75,+10.8% OTM
2025-11-29 18:56:25,COALINDIA,STOCK,Long Put,377.25,7.05,ask,376.15,200,49,3,50,LOW_VOL,43.8,TIER_3,ATM,30-Dec-2025,30,1900,13395.0,370.2,+0.3% ITM
2025-11-29 18:55:58,ADANIENT,STOCK,Long Put,2191.05,33.05,ask,2280.2,198,288,38,50,LOW_VOL,47.9,TIER_2,OTM,30-Dec-2025,30,250,8262.5,2158.0,-3.9% OTM
2025-11-29 18:55:21,RELIANCE,STOCK,Long Put,1300,0.5,ask,1567.5,192,383,-22,50,LOW_VOL,82.3,TIER_1,OTM,30-Dec-2025,30,250,125.0,1299.5,-17.1% OTM
2025-11-29 18:55:46,ONGC,STOCK,Long Put,246.5,6.75,ask,243.25,190,246,-11,50,LOW_VOL,45.9,TIER_3,ATM,30-Dec-2025,30,3850,25987.5,239.75,+1.3% ITM
2025-11-29 18:55:36,BPCL,STOCK,Long Call,362.5,9.4,ask,359.1,187,167,36,50,LOW_VOL,44.6,TIER_3,ATM,30-Dec-2025,30,1800,16920.0,371.9,+0.9% OTM
2025-11-29 18:55:19,BHARTIARTL,STOCK,Long Put,1900,1.4,ask,2101.6,184,775,57,50,LOW_VOL,68.1,TIER_1,OTM,30-Dec-2025,30,475,665.0,1898.6,-9.6% OTM
2025-11-29 18:56:02,HDFCAMC,STOCK,Long Call,2675,67.3,ask,2673.0,178,96,-6,50,LOW_VOL,22.5,TIER_3,ATM,30-Dec-2025,30,200,13460.0,2742.3,+0.1% OTM
2025-11-29 18:55:21,RELIANCE,STOCK,Long Put,1410,0.95,ask,1567.5,171,991,-40,50,LOW_VOL,82.3,TIER_1,OTM,30-Dec-2025,30,250,237.5,1409.05,-10.0% OTM
2025-11-29 18:55:36,BPCL,STOCK,Long Call,367.5,8.2,ask,359.1,170,124,-9,50,LOW_VOL,44.6,TIER_3,OTM,30-Dec-2025,30,1800,14760.0,375.7,+2.3% OTM
2025-11-29 18:55:45,HAL,STOCK,Long Call,5000,52.95,ask,4542.4,158,391,50,50,LOW_VOL,35.0,TIER_2,OTM,27-Jan-2026,58,150,7942.5,5052.95,+10.1% OTM
2025-11-29 18:55:33,INDUSINDBK,STOCK,Long Call,950,3.2,ask,858.55,141,464,15,50,LOW_VOL,68.3,TIER_2,OTM,30-Dec-2025,30,500,1600.0,953.2,+10.7% OTM
